,CPI YOY % Change_PER_CB
2021-07-01,3.81459906516264
2021-08-01,4.95280459648037
2021-09-01,5.22957455422953
2021-10-01,5.82600992647617
2021-11-01,5.65514784662318
2021-12-01,6.43038716340725
2022-01-01,5.68491659367423
2022-02-01,6.1470442223465
2022-03-01,6.82408900736014
2022-04-01,7.96465277256915
2022-05-01,8.09113893196794
2022-06-01,8.81263294388897
2022-07-01,8.74083491516008
2022-08-01,8.39798830340194
2022-09-01,8.52985253634929
2022-10-01,8.27519462737062
2022-11-01,8.44722980234022
2022-12-01,8.45916200000001
2023-01-01,8.66426700097408
2023-02-01,8.64592356025242
2023-03-01,8.40057400933134
2023-04-01,7.9650458305066
2023-05-01,7.89388564823743
2023-06-01,6.46149699198863
