DATE,m2 money supply
1/1/1998,47191208000
2/1/1998,47039941000
3/1/1998,47490987000
4/1/1998,47875856000
5/1/1998,49540581000
6/1/1998,50780423000
7/1/1998,51232108000
8/1/1998,49879962000
9/1/1998,48284310000
10/1/1998,47235088000
11/1/1998,47929653000
12/1/1998,50132791000
1/1/1999,47799745000
2/1/1999,47459067000
3/1/1999,47858589000
4/1/1999,47594528000
5/1/1999,47226596000
6/1/1999,48446552000
7/1/1999,48806352000
8/1/1999,47853824000
9/1/1999,47556475000
10/1/1999,46835476000
11/1/1999,47310462000
12/1/1999,48421415000
1/1/2000,36028962000
2/1/2000,35001389586
3/1/2000,35292184124
4/1/2000,34819856065
5/1/2000,35370459643
6/1/2000,36346853230
7/1/2000,35874642981
8/1/2000,35238928145
9/1/2000,35446755875
10/1/2000,34590443957
11/1/2000,34379635384
12/1/2000,36247737372
1/1/2001,34863181382
2/1/2001,35393986000
3/1/2001,32371434000
4/1/2001,33429343000
5/1/2001,32940026000
6/1/2001,33014253000
7/1/2001,30974028000
8/1/2001,28613424000
9/1/2001,28462475000
10/1/2001,26226701000
11/1/2001,25748798000
12/1/2001,38487801000
1/1/2002,41744036000
2/1/2002,42461006000
3/1/2002,37756523000
4/1/2002,36710168000
5/1/2002,36672613000
6/1/2002,36092965000
7/1/2002,35415377000
8/1/2002,35167439000
9/1/2002,35156514000
10/1/2002,35914751000
11/1/2002,38057296000
12/1/2002,40640562000
1/1/2003,40054156000
2/1/2003,40479390000
3/1/2003,40332430000
4/1/2003,41471857000
5/1/2003,44679850000
6/1/2003,47576721000
7/1/2003,51536227000
8/1/2003,54832741000
9/1/2003,54995835000
10/1/2003,58905190000
11/1/2003,61687466000
12/1/2003,65502804000
1/1/2004,67944262000
2/1/2004,69607523000
3/1/2004,70413818000
4/1/2004,73073547000
5/1/2004,77094568000
6/1/2004,81093217000
7/1/2004,83499604000
8/1/2004,84095078000
9/1/2004,83053665000
10/1/2004,83910861000
11/1/2004,86372464000
12/1/2004,91930530000
1/1/2005,90292614000
2/1/2005,90761421000
3/1/2005,88234323000
4/1/2005,91836742000
5/1/2005,93241920000
6/1/2005,95639237000
7/1/2005,98209877000
8/1/2005,97831402000
9/1/2005,98563407000
10/1/2005,1.01975E+11
11/1/2005,1.04281E+11
12/1/2005,1.122E+11
1/1/2006,1.11869E+11
2/1/2006,1.11752E+11
3/1/2006,1.11199E+11
4/1/2006,1.13225E+11
5/1/2006,1.17225E+11
6/1/2006,1.19399E+11
7/1/2006,1.20749E+11
8/1/2006,1.19074E+11
9/1/2006,1.20944E+11
10/1/2006,1.22181E+11
11/1/2006,1.27643E+11
12/1/2006,1.3368E+11
1/1/2007,1.33424E+11
2/1/2007,1.33718E+11
3/1/2007,1.3409E+11
4/1/2007,1.38696E+11
5/1/2007,1.40621E+11
6/1/2007,1.46386E+11
7/1/2007,1.4832E+11
8/1/2007,1.4566E+11
9/1/2007,1.46171E+11
10/1/2007,1.47238E+11
11/1/2007,1.49526E+11
12/1/2007,1.68529E+11
1/1/2008,1.62511E+11
2/1/2008,1.58613E+11
3/1/2008,1.61019E+11
4/1/2008,1.65197E+11
5/1/2008,1.62956E+11
6/1/2008,1.69741E+11
7/1/2008,1.68873E+11
8/1/2008,1.7088E+11
9/1/2008,1.74944E+11
10/1/2008,1.70502E+11
11/1/2008,1.74271E+11
12/1/2008,1.96265E+11
1/1/2009,1.90059E+11
2/1/2009,1.85017E+11
3/1/2009,1.84121E+11
4/1/2009,1.87518E+11
5/1/2009,1.90381E+11
6/1/2009,1.96439E+11
7/1/2009,1.95044E+11
8/1/2009,1.97219E+11
9/1/2009,2.00761E+11
10/1/2009,2.00956E+11
11/1/2009,2.02106E+11
12/1/2009,2.29041E+11
1/1/2010,2.25457E+11
2/1/2010,2.23368E+11
3/1/2010,2.32623E+11
4/1/2010,2.39139E+11
5/1/2010,2.42592E+11
6/1/2010,2.51055E+11
7/1/2010,2.4784E+11
8/1/2010,2.51797E+11
9/1/2010,2.5994E+11
10/1/2010,2.68549E+11
11/1/2010,2.72526E+11
12/1/2010,3.17628E+11
1/1/2011,2.97818E+11
2/1/2011,2.96822E+11
3/1/2011,3.02327E+11
4/1/2011,3.12059E+11
5/1/2011,3.15285E+11
6/1/2011,3.27795E+11
7/1/2011,3.32866E+11
8/1/2011,3.33898E+11
9/1/2011,3.36224E+11
10/1/2011,3.34744E+11
11/1/2011,3.3546E+11
12/1/2011,3.92388E+11
1/1/2012,3.67717E+11
2/1/2012,3.69498E+11
3/1/2012,3.7072E+11
4/1/2012,3.78584E+11
5/1/2012,3.89879E+11
6/1/2012,4.1448E+11
7/1/2012,4.23552E+11
8/1/2012,4.24093E+11
9/1/2012,4.22018E+11
10/1/2012,4.35012E+11
11/1/2012,4.5093E+11
12/1/2012,5.30022E+11
1/1/2013,4.85255E+11
2/1/2013,4.83862E+11
3/1/2013,4.89797E+11
4/1/2013,4.91262E+11
5/1/2013,4.968E+11
6/1/2013,5.3E+11
7/1/2013,5.39139E+11
8/1/2013,5.44146E+11
9/1/2013,5.64597E+11
10/1/2013,5.60851E+11
11/1/2013,5.72556E+11
12/1/2013,6.62411E+11
1/1/2014,6.51501E+11
2/1/2014,6.05361E+11
3/1/2014,6.08343E+11
4/1/2014,5.98135E+11
5/1/2014,6.27589E+11
6/1/2014,6.83516E+11
7/1/2014,6.81904E+11
8/1/2014,6.93865E+11
9/1/2014,7.09707E+11
10/1/2014,7.30224E+11
11/1/2014,7.69255E+11
12/1/2014,8.59921E+11
1/1/2015,7.92235E+11
2/1/2015,7.93761E+11
3/1/2015,8.18419E+11
4/1/2015,8.2423E+11
5/1/2015,8.5249E+11
6/1/2015,9.16686E+11
7/1/2015,9.32454E+11
8/1/2015,9.42087E+11
9/1/2015,9.53303E+11
10/1/2015,9.83419E+11
11/1/2015,1.04734E+12
12/1/2015,1.13379E+12
1/1/2016,1.10714E+12
2/1/2016,1.08902E+12
3/1/2016,1.0723E+12
4/1/2016,1.0553E+12
5/1/2016,1.08569E+12
6/1/2016,1.17243E+12
7/1/2016,1.18203E+12
8/1/2016,1.19533E+12
9/1/2016,1.21173E+12
10/1/2016,1.38854E+12
11/1/2016,1.44221E+12
12/1/2016,1.66251E+12
1/1/2017,1.69598E+12
2/1/2017,1.6561E+12
3/1/2017,1.70372E+12
4/1/2017,1.62786E+12
5/1/2017,1.62075E+12
6/1/2017,1.7221E+12
7/1/2017,1.79399E+12
8/1/2017,1.8412E+12
9/1/2017,1.83893E+12
10/1/2017,1.83125E+12
11/1/2017,1.89073E+12
12/1/2017,2.15128E+12
1/1/2018,2.14822E+12
2/1/2018,2.06518E+12
3/1/2018,2.10848E+12
4/1/2018,2.10617E+12
5/1/2018,2.2697E+12
6/1/2018,2.533E+12
7/1/2018,2.34972E+12
